UID	dnNameType	LAST NAME	FIRST NAME	ALIAS	ALTERNATIVE SPELLING	CATEGORY	TITLE	SUB-CATEGORY	POSITION	AGE	DOB	DOBS	PLACE OF BIRTH	DECEASED	PASSPORTS	SSN	IDENTIFICATION NUMBERS	LOCATIONS	COUNTRIES	CITIZENSHIP	E/I	dnCity	dnState	dnCountry	ENTERED	UPDATED	EDITOR	AGE DATE (AS OF DATE)	KEYWORDS
1212629	Primary	SAM MA 2				VESSEL											{INT-IMO}8106496	~,~	UNKNOWN	UNKNOWN	E					2019/07/29			EU~EU-DPRK
1221177	Primary	SAN COSMAS				VESSEL											{INT-IMO}9274343	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
1221183	Primary	SAN DAMIAN				VESSEL											{INT-IMO}9274331	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
1263255	Primary	WOORY STAR				VESSEL											{INT-IMO}8408595	~,~	UNKNOWN	UNKNOWN	E					2019/07/29			EU~EU-DPRK
1429859	Primary	CHON MYONG 1				VESSEL											{INT-IMO}8712362	~,~	UNKNOWN	UNKNOWN	E					2019/07/29			EU~EU-DPRK
1432959	Primary	SAM JONG 1				VESSEL											{INT-IMO}8405311	~,~	UNKNOWN	UNKNOWN	E					2019/07/29			EU~EU-DPRK
1453848	Primary	GT HONOR				VESSEL											{INT-IMO}9258478	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
1453990	Primary	DELVINA				VESSEL											{INT-IMO}9331153	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
1453990	Alias	DELVINA		Galian 2		VESSEL											{INT-IMO}9331153	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
1456713	Primary	KELLY GRACE				VESSEL											{INT-IMO}9331141	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
1456713	Alias	KELLY GRACE		Vela Rain		VESSEL											{INT-IMO}9331141	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
1561968	Primary	JI SONG 8				VESSEL											{INT-IMO}8503228	~,~	UNKNOWN	UNKNOWN	E					2019/08/14			EU~EU-DPRK
1563830	Primary	NAM SAN 8				VESSEL											{INT-IMO}8122347	~,~	UNKNOWN	UNKNOWN	E					2019/07/26			EU~EU-DPRK
1566410	Primary	MONTE BIANCO				VESSEL											{INT-IMO}9385233	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
1566410	Alias	MONTE BIANCO		San Severus		VESSEL											{INT-IMO}9385233	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
2029896	Primary	AN SAN 1				VESSEL											{INT-IMO}7303803	~,~	UNKNOWN	UNKNOWN	E					2019/11/29			EU~EU-DPRK
2031965	Primary	JI SONG 6				VESSEL											{INT-IMO}8898740	~,~	UNKNOWN	UNKNOWN	E					2019/11/29			EU~EU-DPRK
2035534	Primary	YU JONG 2				VESSEL											{INT-IMO}8604917	~,~	UNKNOWN	UNKNOWN	E					2019/11/29			EU~EU-DPRK
2267997	Primary	CHON MA SAN				VESSEL											{INT-IMO}8660313	~,~	UNKNOWN	UNKNOWN	E					2019/12/03			EU~EU-DPRK
2271528	Primary	HAP JANG GANG 6				VESSEL											{INT-IMO}9066540	~,~	UNKNOWN	UNKNOWN	E					2019/12/04			EU~EU-DPRK
2456009	Primary	CALLISTO				VESSEL											{INT-IMO}9299692	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
2833899	Primary	RUNG RA 2				VESSEL											{INT-IMO}9020534	~,~	UNKNOWN	UNKNOWN	E					2019/12/05			EU~EU-DPRK
2957285	Primary	FAN KE				VESSEL											{INT-IMO}8914934	~,~	UNKNOWN	UNKNOWN	E					2019/12/06			EU~EU-DPRK
3266755	Primary	STALINGRAD				VESSEL											{INT-IMO}9690212	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
3284971	Primary	YAZ				VESSEL											{INT-IMO}9735323	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
3284978	Primary	SIG				VESSEL											{INT-IMO}9735335	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
3284992	Primary	TRUVOR				VESSEL											{INT-IMO}9676230	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
3379954	Primary	PAEK MA				VESSEL											{INT-IMO}9066978	~,~	UNKNOWN	UNKNOWN	E					2019/12/10			EU~EU-DPRK
3416573	Primary	UL JI BONG 6				VESSEL											{INT-IMO}9114555	~,~	UNKNOWN	UNKNOWN	E					2019/12/10			EU~EU-DPRK
3455571	Primary	TONG SAN 2				VESSEL											{INT-IMO}8937675;{UNK-MMSI}445539000	~,~	UNKNOWN	UNKNOWN	E					2020/12/11			EU~EU-DPRK
3500416	Primary	JIE SHUN				VESSEL											{INT-IMO}8518780;{UNK-MMSI}514569000	~,~	UNKNOWN	UNKNOWN	E					2020/12/11			EU~EU-DPRK
3604563	Primary	PETREL 8				VESSEL											{INT-IMO}9562233;{UNK-MMSI}620233000	~,~	UNKNOWN	UNKNOWN	E					2020/12/10			EU~EU-DPRK
3604598	Primary	HAO FAN 6				VESSEL											{INT-IMO}8628597;{UNK-MMSI}341985000	~,~	UNKNOWN	UNKNOWN	E					2020/12/10			EU~EU-DPRK
3619420	Primary	YU SON				VESSEL											{INT-IMO}8691702	~,~	UNKNOWN	UNKNOWN	E					2019/12/13			EU~EU-DPRK
3619487	Primary	YU PHYONG 5				VESSEL											{INT-IMO}8605026	~,~	UNKNOWN	UNKNOWN	E					2019/12/13			EU~EU-DPRK
3661132	Primary	KUM UN SAN 3				VESSEL											{INT-IMO}8705539	~,~	UNKNOWN	UNKNOWN	E					2019/12/17			EU~EU-DPRK
3661157	Primary	RYE SONG GANG 1				VESSEL											{INT-IMO}7389704	~,~	UNKNOWN	UNKNOWN	E					2019/12/17			EU~EU-DPRK
3681123	Primary	SAM JONG 2				VESSEL											{INT-IMO}7408873	~,~	UNKNOWN	UNKNOWN	E					2019/12/17			EU~EU-DPRK
3719589	Primary	BILLIONS NO. 18				VESSEL											{INT-IMO}9191773	~,~	UNKNOWN	UNKNOWN	E					2019/12/17			EU~EU-DPRK
3719660	Primary	KOTI				VESSEL											{INT-IMO}9417115	~,~	UNKNOWN	UNKNOWN	E					2019/12/17			EU~EU-DPRK
3762631	Primary	JIN HYE				VESSEL											{INT-IMO}8518572	~,~	UNKNOWN	UNKNOWN	E					2019/12/18			EU~EU-DPRK
